property_type,sector,bedroom,bathroom,balcony,floorNum,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_score,price
0,4,2,2,2,2,3,741.4230158730159,0,0,0,0,0.97
1,31,5,5,4,1,2,1800.0,1,1,0,2,5.8
0,76,2,2,1,2,3,656.6666666666666,0,0,2,1,0.53
1,16,4,6,3,1,1,6382.0,1,1,2,2,7.99
1,26,5,5,2,2,3,120.0,0,0,0,1,1.6
0,105,3,4,4,2,3,1615.0,1,0,2,0,1.6
1,101,3,3,2,1,4,1423.0,0,0,0,1,1.25
0,16,3,3,2,0,3,2225.56,0,0,2,0,3.4
0,39,3,2,2,0,4,1856.6666666666663,0,0,0,2,1.67
0,94,4,5,4,2,3,2109.777777777778,1,0,1,0,2.95
0,96,3,3,3,1,3,1651.190476190476,0,0,0,2,0.92
1,50,5,6,4,2,1,4050.0,1,0,2,0,11.0
0,105,3,2,3,1,1,1661.111111111111,0,0,0,1,0.99
1,64,6,6,2,2,0,3450.0,1,1,1,0,3.65
0,6,2,2,2,2,4,1402.3809523809523,0,0,0,2,1.5
0,104,4,4,4,2,3,2138.8571428571427,1,0,0,2,1.75
0,16,2,2,3,2,3,2441.0,0,0,0,0,2.6
0,96,3,3,3,0,3,1832.468253968254,1,0,2,1,1.5
0,103,3,4,3,2,3,1764.2857142857142,1,0,0,0,0.9
0,86,4,6,4,2,1,2397.6190476190477,1,0,0,2,1.46
0,108,4,4,4,1,1,2835.0,0,0,0,2,1.9
0,97,4,4,3,1,3,2600.0,0,0,0,1,2.13
1,110,9,9,4,2,3,3150.0,0,0,2,1,4.5
0,89,3,3,2,2,3,1214.6571428571428,0,0,0,0,1.3
1,18,4,4,1,1,0,1700.0,0,0,0,1,0.7
0,80,3,3,4,2,1,1764.2857142857142,0,0,2,1,1.8
0,10,3,4,3,2,0,1771.32,0,0,2,2,1.65
0,9,3,2,2,2,3,716.6666666666666,0,0,0,1,0.51
0,44,2,2,3,0,0,1410.0,0,0,0,2,0.75
1,7,3,2,1,1,0,3888.8888888888887,0,0,0,1,1.15
0,1,4,4,4,2,3,5428.571428571428,1,0,0,2,7.0
0,34,2,2,2,1,2,900.0,0,0,0,2,0.58
0,50,3,3,2,2,0,1272.9999999999998,0,0,0,2,2.0
0,33,3,3,2,2,0,2983.333333333333,1,0,0,1,6.0
0,111,2,2,2,1,3,900.0,0,0,0,1,0.4
1,54,7,7,3,1,0,2340.0,0,0,2,1,4.75
0,97,2,3,4,2,3,1575.190476190476,0,1,0,2,1.04
1,57,5,6,4,2,0,3240.0,1,1,2,0,10.3
0,25,3,2,3,2,0,1440.0,0,0,0,1,0.8
1,11,4,5,4,1,3,2430.0,1,0,2,2,6.0
0,86,2,2,3,0,3,1198.8095238095236,0,0,2,1,0.75
0,97,3,3,2,2,0,1350.0,0,0,0,1,0.72
1,33,2,2,0,1,2,864.0,0,0,0,1,0.7
1,50,5,5,4,1,3,2250.0,1,0,2,2,9.5
1,79,7,7,0,2,2,2610.0,0,0,0,1,3.0
0,82,4,4,3,0,0,1984.1428571428569,1,0,0,2,1.32
0,83,4,5,4,0,3,2700.2777777777774,1,0,2,0,4.0
0,39,3,3,3,2,4,1402.3809523809523,0,0,0,2,1.5
1,11,4,4,4,1,3,5400.0,1,0,0,0,6.25
0,70,5,7,3,2,3,4988.857142857142,1,0,2,0,10.75
0,61,3,3,3,1,0,1382.0,0,0,0,1,5.7
0,98,2,2,1,0,4,1230.4761904761904,0,0,0,2,0.74
0,21,4,3,3,2,2,1444.4444444444443,0,0,2,2,1.4
0,11,3,4,4,2,1,2338.8095238095234,1,0,0,2,2.3
1,50,3,3,4,2,1,2700.0,0,0,2,1,13.0
0,111,3,3,0,0,3,1780.0,0,0,0,2,1.2
0,78,3,3,1,0,3,1391.5238095238094,0,0,0,0,1.38
1,95,3,3,4,2,1,2160.0,1,0,0,1,1.7
0,78,3,3,2,1,3,1427.7142857142856,0,0,2,0,1.46
0,25,3,4,4,2,0,1737.1428571428569,1,0,0,2,1.51
0,25,2,2,2,0,2,1100.0,0,0,2,1,0.75
0,55,3,3,3,0,3,1839.3809523809523,0,0,0,1,2.23
0,10,3,3,3,2,3,1662.9523809523807,0,0,0,0,0.8
0,111,2,2,4,2,0,1100.0,0,0,2,0,0.9
0,71,3,4,4,2,0,1553.4761904761904,0,0,2,2,2.2
0,107,4,3,3,2,3,2824.4444444444443,1,0,0,1,1.1
0,82,2,2,0,2,0,1200.0,0,0,0,1,0.95
1,18,2,4,2,1,3,846.0,0,0,2,1,1.2
0,73,3,4,2,0,3,3355.0,0,0,0,1,6.15
0,97,4,5,4,2,3,2017.0,1,0,0,1,1.73
0,68,3,4,4,2,0,2037.0,1,0,2,0,2.65
0,107,2,2,3,0,1,990.0,0,0,0,1,0.55
0,89,3,3,4,1,4,1200.0,0,0,0,2,1.15
0,95,3,3,3,1,0,1488.888888888889,0,0,0,1,0.95
0,88,3,3,2,2,0,2044.5238095238096,0,0,1,1,1.2
1,57,5,6,4,2,0,3240.0,0,0,0,2,12.0
0,53,3,3,4,2,0,1887.3333333333333,1,0,2,2,2.4
0,39,2,2,4,0,4,1538.888888888889,0,0,0,1,1.25
1,63,8,8,4,1,0,2471.0,0,0,2,1,7.25
0,95,1,1,0,2,3,700.0,0,0,0,1,0.65
1,102,2,2,1,1,0,558.0,0,0,0,1,0.6
0,72,2,3,4,2,4,996.873015873016,0,0,0,2,2.2
0,111,2,2,2,2,3,515.9444444444445,0,0,0,2,0.3
1,28,3,2,0,1,2,3078.0,0,0,0,1,5.1
0,103,4,4,4,0,3,2726.0,1,0,0,0,1.88
0,101,2,3,3,2,4,1501.9047619047617,0,0,0,2,0.8
0,104,3,3,4,2,3,1700.0,0,0,0,2,1.4
0,11,4,5,3,2,3,2764.047619047619,0,0,0,2,1.88
0,29,4,5,4,2,1,3888.8888888888887,1,0,1,1,6.5
0,95,3,3,4,0,3,1548.4349206349204,1,0,0,2,1.75
0,78,3,3,2,1,3,1427.7142857142856,0,0,0,1,1.7
0,73,3,3,4,2,3,2380.0,1,0,2,1,4.7
1,31,6,6,3,1,3,4518.0,1,0,2,2,19.0
0,88,3,4,3,2,0,1668.0,1,0,0,2,0.88
1,57,3,4,2,1,0,3240.0,1,0,2,2,12.0
0,43,2,2,1,2,3,850.0,0,0,2,0,0.33
0,103,4,4,4,2,0,2004.0476190476188,0,0,0,1,1.8
1,33,5,6,4,2,1,3240.0,1,0,2,0,10.5
1,78,4,3,2,2,1,1800.0,0,0,1,2,2.95
